ID,Couleur du mot,Mot,Reponse,Temps de reponse,Age,Genre,Iteration
1,Rouge,Vert,Vert,0.5186097621917725,20,1,1
1,Vert,Rouge,Rouge,0.5068979263305664,20,1,2
1,Rouge,Bleu,Rouge,0.0011329650878906,20,1,5
1,Rouge,Rouge,Rouge,0.0036830902099609,20,1,6
1,Rouge,Vert,Rouge,0.0037519931793212,20,1,7
1,Vert,Vert,Vert,0.002593994140625,20,1,8
1,Vert,Vert,Vert,0.0049071311950683,20,1,9
1,Vert,Vert,Rouge,0.0059039592742919,20,1,10
2,Vert,Bleu,Bleu,0.8094689846038818,12,0,1
2,Rouge,Bleu,Bleu,0.5227727890014648,12,0,2
2,Bleu,Rouge,Bleu,0.6697158813476562,12,0,3
2,Bleu,Rouge,Rouge,0.5522041320800781,12,0,4
2,Vert,Vert,Vert,0.4248898029327392,12,0,5
2,Bleu,Bleu,Bleu,0.4484100341796875,12,0,6
2,Rouge,Rouge,Rouge,0.5702090263366699,12,0,7
2,Rouge,Rouge,Rouge,0.6533567905426025,12,0,8
2,Bleu,Bleu,Bleu,0.6029760837554932,12,0,9
2,Bleu,Vert,Vert,0.3717000484466553,12,0,10
5,Vert,Rouge,Rouge,0.9617068767547609,20,1,1
5,Vert,Rouge,Rouge,0.0021121501922607,20,1,2
5,Bleu,Bleu,Vert,0.0032093524932861,20,1,3
5,Vert,Vert,Vert,0.0008141994476318,20,1,4
5,Vert,Rouge,Vert,0.0038051605224609,20,1,6
5,Rouge,Bleu,Vert,0.0040338039398193,20,1,7
5,Vert,Bleu,Vert,0.0027761459350585,20,1,8
12,Rouge,Vert,Vert,0.7520999908447266,34,0,1
12,Vert,Bleu,Bleu,0.4605140686035156,34,0,2
12,Bleu,Rouge,Rouge,0.6268198490142822,34,0,3
12,Rouge,Bleu,Bleu,0.5598418712615967,34,0,4
12,Rouge,Vert,Vert,0.4802110195159912,34,0,5
12,Bleu,Vert,Vert,0.4077901840209961,34,0,6
12,Bleu,Bleu,Bleu,0.5090999603271484,34,0,7
12,Bleu,Vert,Vert,0.4096081256866455,34,0,8
12,Rouge,Rouge,Rouge,0.6344389915466309,34,0,9
12,Bleu,Rouge,Rouge,0.6442317962646484,34,0,10
10,Bleu,Rouge,Rouge,0.6690568923950195,12,0,1
10,Vert,Rouge,Rouge,0.5704469680786133,12,0,2
10,Rouge,Vert,Vert,0.5480129718780518,12,0,3
10,Vert,Vert,Vert,0.3831238746643066,12,0,4
10,Vert,Vert,Vert,0.343613862991333,12,0,5
10,Rouge,Bleu,Bleu,0.4642519950866699,12,0,6
10,Rouge,Rouge,Rouge,0.5257978439331055,12,0,7
10,Vert,Bleu,Bleu,0.6045961380004883,12,0,8
10,Vert,Vert,Vert,0.6671938896179199,12,0,9
10,Bleu,Rouge,Rouge,0.4640159606933594,12,0,10
6,Bleu,Vert,Vert,0.4218738079071045,20,1,1
6,Bleu,Vert,Vert,0.4724128246307373,20,1,2
6,Vert,Rouge,Rouge,0.4927659034729004,20,1,3
6,Rouge,Bleu,Bleu,0.4919469356536865,20,1,4
6,Rouge,Bleu,Bleu,0.5255849361419678,20,1,5
6,Bleu,Vert,Vert,0.4313540458679199,20,1,6
6,Bleu,Bleu,Bleu,0.5343029499053955,20,1,7
6,Rouge,Bleu,Bleu,0.5680029392242432,20,1,8
6,Rouge,Vert,Vert,0.4250679016113281,20,1,9
6,Bleu,Bleu,Bleu,0.4902868270874023,20,1,10
7,Rouge,Rouge,Rouge,0.7262089252471924,92,0,1
7,Rouge,Rouge,Rouge,0.941605806350708,92,0,2
7,Rouge,Vert,Vert,0.922476053237915,92,0,3
7,Vert,Vert,Bleu,0.000864028930664,92,0,5
7,Rouge,Bleu,Vert,0.0009050369262695,92,0,6
7,Bleu,Bleu,Bleu,0.0012640953063964,92,0,7
7,Bleu,Rouge,Bleu,0.0010323524475097,92,0,8
7,Bleu,Bleu,Vert,0.0009961128234863,92,0,10
18,Bleu,Rouge,Rouge,0.834744930267334,87,1,1
18,Rouge,Rouge,Rouge,0.856360912322998,87,1,2
18,Rouge,Vert,Vert,0.7151260375976562,87,1,3
18,Vert,Rouge,Rouge,0.6759238243103027,87,1,4
18,Vert,Rouge,Rouge,0.981497049331665,87,1,5
18,Rouge,Vert,Vert,0.8417007923126221,87,1,6
18,Vert,Vert,Vert,0.7660562992095947,87,1,7
18,Vert,Bleu,Bleu,0.7681739330291748,87,1,8
18,Vert,Bleu,Bleu,0.5574100017547607,87,1,9
18,Bleu,Rouge,Rouge,0.8273830413818359,87,1,10
17,Bleu,Bleu,Bleu,0.517103910446167,31,0,1
17,Rouge,Vert,Vert,0.4731919765472412,31,0,2
17,Rouge,Vert,Vert,0.6518499851226807,31,0,3
17,Bleu,Bleu,Bleu,0.5153748989105225,31,0,4
17,Vert,Vert,Vert,0.5455648899078369,31,0,5
17,Vert,Rouge,Rouge,0.4974579811096191,31,0,6
17,Rouge,Vert,Vert,0.5313558578491211,31,0,7
17,Vert,Rouge,Rouge,0.5588102340698242,31,0,8
17,Rouge,Rouge,Rouge,0.5506341457366943,31,0,9
17,Bleu,Rouge,Rouge,0.4933438301086426,31,0,10
13,Rouge,Rouge,Vert,0.2807080745697021,23,1,1
13,Bleu,Rouge,Bleu,0.0026571750640869,23,1,2
13,Vert,Vert,Bleu,0.003026008605957,23,1,3
13,Bleu,Bleu,Bleu,0.0022017955780029,23,1,4
13,Rouge,Bleu,Bleu,0.0025792121887207,23,1,5
13,Rouge,Vert,Bleu,0.0028107166290283,23,1,6
14,Bleu,Bleu,Bleu,0.5245780944824219,64,0,1
14,Vert,Rouge,Rouge,0.503546953201294,64,0,2
14,Bleu,Vert,Rouge,0.0012209415435791,64,0,3
14,Vert,Rouge,Rouge,0.0021619796752929,64,0,4
14,Rouge,Bleu,Vert,0.0009160041809082,64,0,5
14,Bleu,Rouge,Bleu,0.0008718967437744,64,0,6
14,Bleu,Bleu,Rouge,0.0008502006530761,64,0,7
14,Bleu,Rouge,Bleu,0.0008759498596191,64,0,8
14,Vert,Vert,Rouge,0.0008490085601806,64,0,9
14,Vert,Bleu,Vert,0.0006861686706542,64,0,10
16,Bleu,Vert,Vert,0.6808609962463379,23,0,1
16,Rouge,Bleu,Bleu,0.6214461326599121,23,0,2
16,Rouge,Rouge,Rouge,0.6864831447601318,23,0,3
16,Vert,Rouge,Rouge,0.6212050914764404,23,0,4
16,Rouge,Vert,Vert,0.606529951095581,23,0,5
16,Rouge,Rouge,Rouge,0.5542070865631104,23,0,6
16,Bleu,Vert,Vert,0.4626781940460205,23,0,7
16,Rouge,Vert,Vert,0.4800970554351806,23,0,8
16,Bleu,Rouge,Rouge,0.4473447799682617,23,0,9
16,Vert,Rouge,Rouge,0.7982478141784668,23,0,10
19,Rouge,Rouge,Rouge,0.4509398937225342,12,1,1
19,Rouge,Vert,Rouge,0.001176118850708,12,1,2
19,Vert,Bleu,Vert,0.0008168220520019,12,1,3
19,Rouge,Rouge,Bleu,0.0009427070617675,12,1,4
19,Rouge,Bleu,Rouge,0.0009212493896484,12,1,5
19,Bleu,Vert,Bleu,0.0007069110870361,12,1,6
19,Rouge,Vert,Vert,0.0007951259613037,12,1,7
19,Vert,Rouge,Vert,0.0008509159088134,12,1,8
19,Bleu,Bleu,Rouge,0.0010499954223632,12,1,9
19,Vert,Vert,Bleu,0.0009741783142089,12,1,10
20,Bleu,Rouge,Rouge,0.6576519012451172,20,1,1
20,Rouge,Bleu,Bleu,0.5461528301239014,20,1,2
20,Vert,Bleu,Bleu,0.5342426300048828,20,1,3
20,Vert,Vert,Vert,0.0011887550354003,20,1,4
20,Rouge,Bleu,Vert,0.0011022090911865,20,1,5
20,Rouge,Bleu,Bleu,0.000648021697998,20,1,6
20,Vert,Bleu,Bleu,0.0004968643188476,20,1,7
20,Bleu,Rouge,Bleu,0.0008299350738525,20,1,8
20,Bleu,Vert,Rouge,0.0008721351623535,20,1,9
20,Bleu,Rouge,Vert,0.0007681846618652,20,1,10
21,Rouge,Vert,Vert,0.6842448711395264,20,1,1
21,Rouge,Bleu,Bleu,0.6349160671234131,20,1,2
21,Vert,Bleu,Vert,0.4603719711303711,20,1,3
21,Rouge,Vert,Vert,0.5288279056549072,20,1,4
21,Rouge,Bleu,Bleu,0.3828761577606201,20,1,5
21,Bleu,Bleu,Bleu,0.506227970123291,20,1,6
21,Bleu,Bleu,Bleu,0.4695761203765869,20,1,7
21,Bleu,Vert,Vert,0.5759696960449219,20,1,8
21,Bleu,Rouge,Rouge,0.4347789287567138,20,1,9
21,Bleu,Vert,Vert,0.4883680343627929,20,1,10
22,Vert,Rouge,Rouge,0.5186090469360352,21,1,1
22,Rouge,Vert,Vert,0.4075338840484619,21,1,2
22,Bleu,Vert,Vert,0.4402198791503906,21,1,3
22,Bleu,Rouge,Rouge,0.5750730037689209,21,1,4
22,Bleu,Rouge,Rouge,0.4516699314117431,21,1,5
22,Vert,Bleu,Bleu,0.5225009918212891,21,1,6
22,Vert,Rouge,Rouge,0.5063340663909912,21,1,7
22,Vert,Bleu,Bleu,0.5625741481781006,21,1,8
22,Vert,Rouge,Rouge,0.582489013671875,21,1,9
22,Rouge,Vert,Vert,0.4249999523162842,21,1,10
23,Rouge,Vert,Vert,0.4051556587219238,29,0,1
23,Bleu,Rouge,Rouge,0.5215389728546143,29,0,2
23,Bleu,Vert,Vert,0.4498231410980224,29,0,3
23,Bleu,Rouge,Rouge,0.5397751331329346,29,0,4
23,Vert,Vert,Vert,0.3783168792724609,29,0,5
23,Rouge,Bleu,Bleu,0.3733289241790771,29,0,6
23,Bleu,Vert,Vert,0.459691047668457,29,0,7
23,Vert,Rouge,Rouge,0.4303102493286133,29,0,8
23,Bleu,Bleu,Bleu,0.4785089492797851,29,0,9
23,Bleu,Bleu,Bleu,0.5353262424468994,29,0,10
32,Bleu,Rouge,Rouge,0.7972619533538818,23,1,1
32,Bleu,Rouge,Rouge,0.9593169689178468,23,1,2
32,Vert,Bleu,,1.0000269412994385,23,1,3
32,Vert,Rouge,,1.0000059604644775,23,1,4
32,Vert,Vert,,1.0000100135803225,23,1,5
32,Rouge,Bleu,,1.0000252723693848,23,1,6
32,Bleu,Rouge,,1.0000052452087402,23,1,7
32,Vert,Bleu,,1.0000097751617432,23,1,8
32,Bleu,Rouge,,1.0000052452087402,23,1,9
32,Vert,Rouge,,1.0000088214874268,23,1,10
